"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Primula latifola",7.022641,45.092234,6.28644800186157,8.25356292724609,33.3666000366211,620.036315917969,20.1202507019043,-4.61574983596802,24.7360000610352,3.0432915687561,14.1002502441406,14.1604995727539,-0.721458375453949,1080,111,62,14.9870128631592,308,222,225,270
"Primula latifola",7.154288,45.265972,0.349927097558975,6.55814599990845,28.9265079498291,592.692626953125,13.3192501068115,-9.35249996185303,22.6717491149902,-1.79012489318848,7.79370832443237,8.16754150390625,-5.95104169845581,1180,121,64,17.4807300567627,341,223,224,316
"Primula latifola",7.102369,44.722008,3.36869788169861,7.05693769454956,29.806604385376,615.319702148438,16.835750579834,-6.84000015258789,23.6757507324219,0.633083403110504,11.1676254272461,11.3045415878296,-3.3657500743866,1116,117,56,18.6976699829102,327,210,215,286
"Primula latifola",7.016348,45.07536,6.28644800186157,8.25356292724609,33.3666000366211,620.036315917969,20.1202507019043,-4.61574983596802,24.7360000610352,3.0432915687561,14.1002502441406,14.1604995727539,-0.721458375453949,1080,111,62,14.9870128631592,308,222,225,270
"Primula latifola",6.419353,45.008447,0.964020848274231,7.13179159164429,29.3028125762939,628.709655761719,15.0377502441406,-9.30049991607666,24.338249206543,-4.52304172515869,8.82695865631104,9.11062526702881,-5.86779165267944,1431,158,74,20.2372169494629,442,263,265,408
"Primula latifola",8.474001,46.673368,0.335812509059906,5.98554182052612,28.8511981964111,545.328552246094,11.7349996566772,-9.01124954223633,20.7462501525879,7.13395833969116,-5.59145832061768,7.29612493515015,-5.59145832061768,1446,144,96,12.2203388214111,423,308,401,308
"Primula latifola",7.317156,45.405697,1.78682291507721,6.51447916030884,28.8599262237549,591.172302246094,14.5074996948242,-8.06525039672852,22.5727500915527,-0.530666649341583,9.49895858764648,9.49895858764648,-4.52125024795532,1267,125,73,15.2731084823608,360,249,249,333
"Primula latifola",6.413562,44.901703,0.111177064478397,6.59756231307983,28.2224521636963,612.728820800781,13.5837497711182,-9.79325008392334,23.3769989013672,-5.14450025558472,7.80887508392334,8.13325023651123,-6.44483327865601,1316,146,65,21.2767009735107,408,235,241,375
"Primula latifola",9.838447,46.43081,-2.83494782447815,6.89885425567627,30.1385040283203,584.478759765625,9.14099979400635,-13.7495002746582,22.8904991149902,4.37383317947388,-9.43445873260498,4.41174983978271,-9.43445873260498,935,99,55,16.8926982879639,290,191,282,191
"Primula latifola",6.504481,45.085053,0.983333349227905,6.89254188537598,28.7650680541992,623.2978515625,14.8979997634888,-9.06350040435791,23.9615001678467,-4.36516666412354,8.823166847229,9.13508319854736,-5.66187524795532,1397,153,72,20.4156837463379,430,255,257,398
